epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1370.31,0.43973,0.38576,0.9656,0.92563,0.89237,0.90802,0.75127,0.6446,0.53454,1.16328,0.00104813,0.00104813,0.00104813
77,1388.66,0.44061,0.3921,0.96776,0.96021,0.86204,0.91931,0.75254,0.63178,0.58617,1.10756,0.00103987,0.00103987,0.00103987
78,1406.16,0.4422,0.39265,0.96706,0.92307,0.86492,0.90758,0.77414,0.62558,0.52226,1.10933,0.00103162,0.00103162,0.00103162
79,1423.5,0.42986,0.38882,0.96514,0.93408,0.85851,0.92045,0.77657,0.61706,0.56955,1.09322,0.00102337,0.00102337,0.00102337
80,1442.04,0.43875,0.39003,0.96832,0.93121,0.88591,0.9192,0.7668,0.63492,0.54699,1.10802,0.00101512,0.00101512,0.00101512
81,1459.38,0.44173,0.3941,0.96243,0.93364,0.89566,0.9141,0.74949,0.68425,0.57129,1.18631,0.00100687,0.00100687,0.00100687
82,1476.95,0.43892,0.3781,0.96143,0.91969,0.86832,0.9133,0.74572,0.64717,0.54719,1.14974,0.000998616,0.000998616,0.000998616
83,1495.28,0.43041,0.3762,0.95887,0.92477,0.87943,0.90317,0.77672,0.60839,0.53516,1.09051,0.000990365,0.000990365,0.000990365
84,1512.67,0.42716,0.37867,0.9608,0.9506,0.88406,0.91776,0.76604,0.60966,0.50595,1.09518,0.000982113,0.000982113,0.000982113
85,1531.61,0.42858,0.37261,0.95687,0.9237,0.89671,0.92343,0.77592,0.62664,0.53078,1.1185,0.000973861,0.000973861,0.000973861
86,1549.09,0.41923,0.37162,0.95555,0.93884,0.87468,0.92562,0.76173,0.63791,0.53768,1.13308,0.00096561,0.00096561,0.00096561
87,1566.47,0.41759,0.36845,0.95601,0.92114,0.90311,0.91676,0.782,0.59676,0.53197,1.0773,0.000957358,0.000957358,0.000957358
88,1584.92,0.42965,0.36407,0.95695,0.92723,0.88225,0.92582,0.77674,0.60383,0.53037,1.09175,0.000949106,0.000949106,0.000949106
